Item Type;Publication Year;Publication Title;Author;Title;Date;Url;ISBN;ISSN;DOI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Jigsaw;Schmidt, Eric;Google Ideas Becomes Jigsaw;16/02/2016;https://medium.com/jigsaw/google-ideas-becomes-jigsaw-bcb5bd08c423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Matt's Ramblings;Earl, Matthew;Number plate recognition with Tensorflow;06/05/2016;https://matthewearl.github.io/2016/05/06/cnn-anpr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;blog.youtube;The YouTube Team;Bringing new Redirect Method features to YouTube;20/07/2017;https://blog.youtube/news-and-events/bringing-new-redirect-method-features/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Bulletin of the Atomic Scientists;Staff, Bulletin;Project Maven brings AI to the fight against ISIS;21/12/2017;https://thebulletin.org/2017/12/project-maven-brings-ai-to-the-fight-against-isis/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google Cloud Blog;Li, Fei-Fei;Announcing Google Cloud Video Intelligence API, and more Cloud Machine Learning updates;09/03/2017;https://cloud.google.com/blog/products/gcp/announcing-google-cloud-video-intelligence-api-and-more-cloud-machine-learning-updates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google Online Security Blog;"O'Brien, Devon; Sleevi, Ryan; Whalley, Andrew";Chrome’s Plan to Distrust Symantec Certificates;11/09/2017;https://security.googleblog.com/2017/09/chromes-plan-to-distrust-symantec.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google Research;Stone, Zak;Introducing the TensorFlow Research Cloud;17/05/2017;https://research.google/blog/introducing-the-tensorflow-research-cloud/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Cohen, Jared;When computers learn to swear: Using machine learning for better online conversations;23/02/2017;https://blog.google/technology/ai/when-computers-learn-swear-using-machine-learning-better-online-conversations/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Google;Update on the Global Internet Forum to Counter Terrorism;04/12/2017;https://blog.google/around-the-globe/google-europe/update-global-internet-forum-counter-terrorism/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Li, Fei-Fei;Opening the Google AI China Center;13/12/2017;https://blog.google/around-the-globe/google-asia/google-ai-china-center/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Molinari, Susan;Google’s fight against human trafficking;07/09/2017;https://blog.google/outreach-initiatives/public-policy/googles-fight-against-human-trafficking/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;"Risher, Mark; Miller, Allison";Fighting phishing with smarter protections;18/10/2017;https://blog.google/technology/safety-security/fighting-phishing-smarter-protections/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Rogers, Simon;A new machine learning app for reporting on hate in America;18/08/2017;https://blog.google/outreach-initiatives/google-news-initiative/new-machine-learning-app-reporting-hate-america/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Salgado, Richard;New government removals and National Security Letter data;07/12/2017;https://blog.google/outreach-initiatives/public-policy/new-government-removals-and-national-security-letter-data/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Walker, Kent;An international framework for digital evidence;20/04/2017;https://blog.google/outreach-initiatives/public-policy/international-framework-digital-evidence/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Walker, Kent;Four steps we’re taking today to fight terrorism online;18/06/2017;https://blog.google/around-the-globe/google-europe/four-steps-were-taking-today-fight-online-terror/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Walker, Kent;Digital security and due process: A new legal framework for the cloud era;22/06/2017;https://blog.google/outreach-initiatives/public-policy/digital-security-and-due-process-new-legal-framework-cloud-era/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Walker, Kent;Defending access to lawful information at Europe’s highest court;15/11/2017;https://blog.google/around-the-globe/google-europe/defending-access-lawful-information-europes-highest-court/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;"Walker, Kent; Salgado, Richard";Security and disinformation in the U.S. 2016 election;30/10/2017;https://blog.google/outreach-initiatives/public-policy/security-and-disinformation-us-2016-election/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Hashed Out by The SSL Store™;Lynch, Vincent;DigiCert Will Acquire Symantec’s Certificate Authority;03/08/2017;https://www.thesslstore.com/blog/digicert-symantec-acquisition/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Jigsaw;Jigsaw;Jigsaw Turns One;16/02/2017;https://medium.com/jigsaw/jigsaw-turns-one-b9f05902a05b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Jigsaw;Jigsaw;Algorithms And Insults: Scaling Up Our Understanding Of Harassment On Wikipedia;29/08/2017;https://medium.com/jigsaw/algorithms-and-insults-scaling-up-our-understanding-of-harassment-on-wikipedia-6cc417b9f7ff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Jigsaw;Jigsaw;Protect Your Election: Helping Everyone Get The Full Story;29/08/2017;https://medium.com/jigsaw/protect-your-election-helping-everyone-get-the-full-story-faea40934dd2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Twitter Blog;Twitter Public Policy;Global Internet Forum to Counter Terrorism;26/06/2017;https://blog.x.com/en_us/topics/company/2017/Global-Internet-Forum-to-Counter-Terrorism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;YouTube Official Blog;The YouTube Team;An update on our commitment to fight violent extremist content online;01/08/2017;https://blog.youtube/news-and-events/an-update-on-our-commitment-to-fight/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;YouTube official blog;Wojcicki, Susan;Expanding our work against abuse of our platform;05/12/2017;https://blog.youtube/news-and-events/expanding-our-work-against-abuse-of-our/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Analytics Vidhya;Shaikh, Faizan;Essentials of Deep Learning: Introduction to Unsupervised Deep Learning (with Python codes);06/05/2018;https://www.analyticsvidhya.com/blog/2018/05/essentials-of-deep-learning-trudging-into-unsupervised-deep-learning/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google Online Security Blog;Bursztein, Elie;Leveraging AI to protect our users and the web;10/04/2018;https://security.googleblog.com/2018/04/leveraging-ai-to-protect-our-users-and.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2018;Google Online Security Blog;Huntley, Shane;A reminder about government-backed phishing;20/08/2018;https://security.googleblog.com/2018/08/a-reminder-about-government-backed.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
